Модель,Accuracy,Precision,Recall,F1-score,ROC-AUC,Час навч. (с)
Rule-Based,0.8001,0.8471,0.8001,0.7136,0.0000,0.0134
Logistic Regression,0.9957,0.9957,0.9957,0.9957,0.9999,0.1837
Decision Tree,0.9986,0.9986,0.9986,0.9986,0.9986,0.1785
Random Forest,0.9993,0.9993,0.9993,0.9993,1.0000,0.6131
MLP,0.9983,0.9983,0.9983,0.9983,1.0000,6.4706
XGBoost (Default),0.9988,0.9988,0.9988,0.9988,1.0000,0.5724
XGBoost (Grid Search),0.9985,0.9985,0.9985,0.9985,1.0000,25.0009
XGBoost (Bayes Opt.),0.9992,0.9992,0.9992,0.9992,1.0000,99.7828
